date,TICKER,CUSIP,COMNAM,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID
1997-10-16,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.011111,-0.750324434339777,0.005494505494505495,2.61839219619678e-10,-0.010842,45.20174482006543,22.75,41265.0,938778.75,0.0625,22.75,22.625
1997-10-17,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.016484,-0.5441935397399813,0.0111731843575419,-8.665268754257947e-10,-0.01161,20.60324730401066,22.375,41265.0,923304.375,0.125,22.5,22.25
1997-10-20,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.011173,-0.09670627728057046,0.011299435028248588,-6.57566988312737e-10,0.012127,18.610783957348843,22.125,41265.0,912988.125,0.125,22.25,22.0
1997-10-21,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.011299,-0.2232067752293697,0.00558659217877095,8.464962111306441e-10,0.017444,14.45673088573852,22.375,41265.0,923304.375,0.0625,22.75,22.625
1997-10-22,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.022346,-0.35837313115092106,0.00546448087431694,2.5521382902389463e-09,-0.003898,9.275826972010178,22.875,41265.0,943936.875,0.0625,23.0,22.875
1997-10-23,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.021858,0.061685045994038123,0.0111731843575419,-2.4039043815083577e-09,-0.018379,9.848006785411366,22.375,41265.0,923304.375,0.125,22.625,22.375
1997-10-24,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.022346,-0.49793541973236743,0.00546448087431694,4.787942424274564e-09,-0.009519,4.944335393190355,22.875,41265.0,943936.875,0.0625,23.0,22.875
1997-10-27,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.027322,0.8508979159723176,0.016853932584269662,-3.251698217007892e-09,-0.068667,9.151460075124197,22.25,41265.0,918146.25,0.1875,22.0,21.625
1997-10-28,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.005618,0.9600540204165398,0.01675977653631285,3.3921762651591364e-10,0.051164,17.937356112928633,22.375,41265.0,923304.375,0.1875,22.75,22.375
1997-10-29,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.011173,-0.37129501408431675,0.011049723756906077,1.0611921448511607e-09,-0.002918,11.27730522234339,22.625,41265.0,933620.625,0.125,22.75,22.5
1997-10-30,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.027624,-0.539528706931008,0.022727272727272728,-5.859683241102292e-09,-0.016841,5.192875318066157,22.0,41265.0,907830.0,0.25,22.25,21.75
1997-10-31,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.0,-0.34328741296597043,0.028409090909090908,0.0,0.012106,3.410226584272386,22.0,41265.0,907830.0,0.3125,22.625,22.0
1997-11-03,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.042614,0.786722852696432,0.005449591280653951,7.388970670796195e-09,0.026645,6.093129770992366,22.9375,41265.0,946515.9375,0.0625,23.0,22.875
1997-11-04,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.008174,-0.635684257834095,0.005405405405405406,3.858803618631569e-09,0.001885,2.219823094632255,23.125,41265.0,954253.125,0.0625,23.25,23.125
1997-11-05,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.021622,-0.1104136417724697,0.015873015873015872,1.1231447116925781e-08,0.002126,1.974724342663274,23.625,41265.0,974885.625,0.1875,23.875,23.5
1997-11-06,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.058201,0.11344140783192413,0.005,2.5658705403886214e-08,-0.005017,2.198739852174967,25.0,41265.0,1031625.0,0.0625,25.0,24.875
1997-11-07,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.03,0.8373543772249838,0.0048543689320388345,6.988683864847008e-09,-0.011215,4.039864291772688,25.75,41265.0,1062573.75,0.0625,25.75,25.625
1997-11-10,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.043689,-0.5973426111994241,0.01015228426395939,-2.6430876556163683e-08,-0.006879,1.6266812068338785,24.625,41265.0,1016150.625,0.125,24.875,24.625
1997-11-11,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.025381,1.3091694599627561,0.005208333333333333,-6.822717409770564e-09,0.002877,3.7562825639161517,24.0,41265.0,990360.0,0.0625,24.0,23.875
1997-11-12,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.052083,-0.4894292368534803,0.02197802197802198,-2.8928009064476084e-08,-0.01929,1.9178480552526354,22.75,41265.0,938778.75,0.25,22.75,22.25
1997-11-13,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.032967,0.5828026282537275,0.011363636363636364,-1.196283020524816e-08,0.011811,3.0355749424451712,22.0,41265.0,907830.0,0.125,22.125,21.875
1997-11-14,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.011364,-0.1225102384582838,0.011494252873563218,-4.753429939142168e-09,0.012753,2.6636859323882223,21.75,41265.0,897513.75,0.125,22.0,21.75
1997-11-17,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,0.068966,-0.35137421872867713,0.016129032258064516,4.1605716668665025e-08,0.019228,1.727735368956743,23.25,41265.0,959411.25,0.1875,23.375,23.0
1997-11-18,CHRW,12541W20,CH ROBINSON WORLDWIDE INC,-0.016129,4.0177011010589805,0.01639344262295082,-1.9709811849902678e-09,-0.008423,8.669259663152793,22.875,41265.0,943936.875,0.1875,23.25,22.875
