date,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,DJI_Return
5/16/1997,-0.117021,-0.795644477,0.024096386,-4.58E-09,-0.014408,51.64617126,-0.018926816
5/19/1997,-0.012048,-0.584434998,0.006097561,-1.15E-09,0.004242,21.46234125,0.004753458
5/20/1997,-0.042683,-0.108799578,0.006369427,-4.77E-09,0.010069,19.12724758,0.010319703
5/21/1997,-0.127389,2.456535125,0.00729927,-4.72E-09,-0.002745,66.1140031,-0.001752558
5/22/1997,-0.021898,-0.376286124,0.007462687,-1.33E-09,-0.004396,41.23622113,-0.004471463
5/23/1997,0.074627,0.351851645,0.006944444,3.12E-09,0.013606,55.74525336,0.012096803
5/27/1997,0.055556,-0.454001651,0.006578947,4.03E-09,0.003164,30.4368163,0.005104889
5/28/1997,-0.032895,-0.473786547,0.013605442,-4.68E-09,-0.002942,16.01626221,-0.003548461
5/29/1997,-0.017007,-0.241178441,0.006920415,-3.25E-09,-0.003694,12.15348506,-0.003669874
5/30/1997,-0.00346,-0.253267579,0.006944444,-8.88E-10,0.004976,9.075401316,0.000109111
6/2/1997,0.006944,-0.770175033,0.013793103,7.70E-09,-0.002263,2.085753804,-0.005674546
6/3/1997,-0.02069,0.991540069,0.007042254,-1.18E-08,-0.00104,4.153862274,0.003114138
6/4/1997,-0.042254,1.596345364,0.014705882,-9.66E-09,-0.006351,10.78486106,-0.005798594
6/5/1997,0.088235,0.839376486,0.006756757,1.01E-08,0.003952,19.83741984,0.004896985
6/6/1997,0.074324,0.377011669,0.012578616,5.74E-09,0.017287,27.31635861,0.017863743
6/9/1997,0.018868,-0.698341826,0.015432099,4.74E-09,0.005711,8.240202858,0.005742515
6/10/1997,-0.061728,1.317009405,0.006578947,-7.13E-09,0.002735,19.09262752,0.008125964
6/11/1997,-0.026316,-0.781615302,0.02027027,-1.43E-08,0.00497,4.169537701,0.004845268
6/12/1997,0.040541,0.371729275,0.003246753,1.54E-08,0.015996,5.719476927,0.017912326
6/13/1997,-0.012987,-0.574545108,0.009868421,-1.18E-08,0.011081,2.433379438,0.00914219
6/16/1997,-0.006579,0.324916463,0.01986755,-4.53E-09,0.000705,3.224024477,-0.001272154
6/17/1997,-0.043046,4.114739606,0.010380623,-6.06E-09,0.000593,16.49004569,-0.001453956
6/18/1997,0.00346,-0.476133348,0.006896552,9.26E-10,-0.006004,8.63858502,-0.005424648
6/19/1997,0,-0.591859608,0.013793103,0,0.010044,3.52575548,0.007566028
6/20/1997,0.010345,2.363321882,0.013651877,2.00E-09,0.000791,11.85825056,0.002494491
6/23/1997,-0.017065,-0.688540466,0.013888889,-1.08E-08,-0.022343,3.693365187,-0.024652113
6/24/1997,0.006944,-0.287664548,0.010344828,6.10E-09,0.020168,2.630914959,0.020220173
6/25/1997,0,1.804782463,0.006896552,0,-0.0082,7.379144138,-0.008772819
6/26/1997,0,0.511550105,0.003448276,0,-0.005973,11.1539461,-0.004642418
6/27/1997,-0.013793,-0.627648221,0.013986014,-7.79E-09,0.004097,4.153191668,0.004363611
6/30/1997,0.034965,1.341251981,0.003378378,8.15E-09,-0.002434,9.723668217,-0.001938212
7/1/1997,-0.016892,-0.534972435,0.003436426,-8.61E-09,0.006654,4.521773754,0.006451361
7/2/1997,0.04811,2.000417111,0.006557377,7.80E-09,0.01459,13.56720734,0.009463512
7/3/1997,0.203279,2.242990423,0.002724796,8.44E-09,0.014258,43.99832348,0.012881979
7/7/1997,0.046322,-0.35918823,0.005208333,2.87E-09,-0.005148,28.19464353,-0.004724006
7/8/1997,0.151042,0.928111658,0.009049774,4.22E-09,0.00718,54.36242089,0.013208603
7/9/1997,0.00905,-0.466660447,0.004484305,4.69E-10,-0.012201,28.99362924,-0.015058451
7/10/1997,0.103139,0.093847713,0.004065041,4.43E-09,0.006876,31.71461503,0.00566152
7/11/1997,-0.105691,0.164377497,0.004545455,-4.36E-09,0.003174,36.92778406,0.004437795
7/14/1997,-0.068182,-0.561704084,0.002439024,-6.89E-09,0.001855,16.18529695,0.000151505
7/15/1997,0.141463,1.004189919,0.002136752,6.25E-09,0.008036,32.43840899,0.006651546
7/16/1997,-0.042735,-0.672485748,0.008928571,-6.02E-09,0.011699,10.62404124,0.007924032
7/17/1997,-0.049107,0.048595742,0.004694836,-6.94E-09,-0.005317,11.14032441,-0.002251564
7/18/1997,-0.028169,-0.753567572,0.014492754,-1.66E-08,-0.017507,2.745337189,-0.016245238
7/21/1997,0.012077,-0.262225004,0.00477327,9.54E-09,-0.002578,2.025441133,0.002053127
7/22/1997,-0.02148,1.705080186,0.009756098,-6.41E-09,0.023046,5.478980678,0.019590967
7/23/1997,0.073171,1.083160576,0.002272727,9.77E-09,0.002762,11.41359655,0.003319411
7/24/1997,-0.013636,-0.626593272,0.004608295,-4.94E-09,0.003972,4.261913743,0.003528532
7/25/1997,-0.013825,-0.489649407,0.004672897,-9.96E-09,-0.001585,2.175070204,-0.000431199
7/28/1997,0.042056,3.153463725,0.011210762,7.00E-09,-0.002493,9.034075192,0.000949071
7/29/1997,0.067265,0.867975912,0.008403361,5.62E-09,0.006236,16.87543485,0.006575452
7/30/1997,-0.012605,-0.476739248,0.004255319,-2.04E-09,0.010612,8.830252735,0.009835512
