date,TICKER,CUSIP,COMNAM,RET,VOL_CHANGE,BA_SPREAD,ILLIQUIDITY,sprtrn,TURNOVER,PRC,SHROUT,MARKET_CAP,TRAN_COST,ASK,BID,day_of_week,day_of_month,month,is_month_start,is_month_end,year,week,RET_ema_12,RET_ema_26,RET_skew_10,RET_kurtosis_10,RET_entropy_10,RSI,OBV,RET_lag_1,RET_lag_7,RET_lag_14,RET_lag_30,RET_mean_7d,RET_std_7d,RET_mean_14d,RET_std_14d,RET_mean_30d,RET_std_30d
1999-11-01,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.200603,-0.5545229754985737,0.0007171029042667,2.2211627379661584e-10,-0.006464,56.66081231819077,174.3125,91442.0,15939483.625,0.0625,174.25,174.125,0,1,11,1,0,1999,44,0.200603,0.200603,,,,,,,,,,,,,,,
1999-11-02,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.105773,-0.2223380474478969,0.0006485084306095,1.3619497093023363e-10,-0.004712,44.06295794055248,192.75,91442.0,17625445.5,0.0625,193.625,193.5,1,2,11,0,0,1999,44,0.18601376923076923,0.19357855555555556,,,,,0.021084317039484064,0.200603,,,,,,,,,
1999-11-03,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.009728,-0.6115958359031124,0.0006548788474132,-3.2566513790184475e-11,0.005335,17.114236346536604,190.875,91442.0,17453991.75,0.0625,190.875,190.75,2,3,11,0,0,1999,44,0.15589965088757396,0.17851881069958847,,,,,0.09172424768212945,0.105773,,,,,,,,,
1999-11-04,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.092338,0.0292486708925467,0.0003607503607503,-3.3089001651761586e-10,0.00569,17.614805013013715,173.25,91442.0,15842326.5,0.03125,174.125,174.0625,3,4,11,0,0,1999,44,0.11770924305871643,0.1584553432403597,,,,,0.08930801497969616,-0.009728,,,,,,,,,
1999-11-05,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.005772,-0.5158465121159124,0.0,4.2476322973078265e-11,0.00557,8.5282692854487,174.25,91442.0,15933768.5,0.0,174.25,174.25,4,5,11,0,0,1999,44,0.10048812874199083,0.14714546596329603,,,,,0.038698313676004,-0.092338,,,,,,,,,
1999-11-08,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.076399,0.3249363332572494,0.0066644451849383,3.9422124958967385e-10,0.004948,11.299413836092825,187.5625,91442.0,17151090.125,0.625,189.75,188.5,0,8,11,0,0,1999,45,0.0967821089355307,0.14190498700305187,,,,,0.06164759208496375,0.005772,,,,,,,,,
1999-11-09,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.011663,-0.4723631756773105,0.0032938076416337,1.1274356471854717e-10,-0.008518,5.961986833183876,189.75,91442.0,17351119.5,0.3125,189.875,189.25,1,9,11,0,0,1999,45,0.08368686140698751,0.13225743241023322,,,,,0.09222649462561011,0.076399,,,,,,,,,
1999-11-10,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.001318,-0.1875999677168474,0.0026315789473684,1.5662285940341426e-11,0.005991,4.843518295750312,190.0,91442.0,17373980.0,0.25,190.0,189.5,2,10,11,0,0,1999,45,0.07101472888283558,0.12255821519466038,,,,,0.0941672162916409,0.011663,0.200603,,,0.200603,,,,,
1999-11-11,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.041118,-0.1623342462536774,0.0089193825042881,-6.08325447604833e-10,0.005825,4.057249403993788,182.1875,91442.0,16659589.375,0.8125,183.8125,182.1875,3,11,11,0,0,1999,45,0.0537635398239378,0.11043405110616702,,,,,0.10105603236566196,0.001318,0.105773,,,0.153188,0.06705493605992029,,,,
1999-11-12,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.026758,-0.1900874116920887,0.0024673951357067,-5.022254605297486e-10,0.010569,3.2860173661993395,177.3125,91442.0,16213809.625,0.21875,177.75,177.3125,4,12,11,0,0,1999,45,0.04137561062025506,0.10027167695015465,1.0216526057853141,1.204887327639285,2.3025850929940455,,0.09832637713376358,-0.041118,-0.009728,,,0.09888266666666667,0.10533465673904924,,,,
1999-11-15,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.031371,0.2532914004259852,0.004730713245997,-4.850248462755448e-10,-0.001196,4.118337306708077,171.75,91442.0,15705163.5,0.40625,172.125,171.3125,0,15,11,0,0,1999,46,0.030183824370985053,0.0905203675464395,0.5459497913450411,0.5600216797445096,2.3025850929940455,,0.09715794390359851,-0.026758,-0.092338,,,0.0510775,0.1286011759160856,,,,
1999-11-16,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.071325,0.5621937974821356,0.0,6.589028982674249e-10,0.018417,6.433640996478642,184.0,91442.0,16825328.0,0.0,182.125,182.125,1,16,11,0,0,1999,46,0.03651323600621812,0.08909848846892546,0.15433676950318118,0.2561648231237247,2.3025850929940455,,0.1548929981298239,-0.031371,0.005772,,,0.0420164,0.11319988737317717,,,,
1999-11-17,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.029212,-0.2768002991645489,0.0006600660066006,3.6255831420561144e-10,-0.006591,4.652807243936047,189.375,91442.0,17316828.75,0.0625,189.5,189.375,2,17,11,0,0,1999,46,0.03538996892833841,0.08466245228604209,-0.1024858989124963,-0.059232279073341436,2.3025850929940455,,0.16654988912854055,0.071325,0.076399,,,0.04774683333333333,0.10221740946710921,,,,
1999-11-18,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.010561,-0.2472089164249686,0.0013342228152101,-1.7597790899869228e-10,0.010087,3.502591806828372,187.375,91442.0,17133944.75,0.125,187.5,187.25,3,18,11,0,0,1999,46,0.02832058909320942,0.07760886322781675,0.6920175494093472,-0.4872947190962554,2.3025850929940455,36.51140210795273,0.17638212936151082,0.029212,0.011663,,,0.042592000000000005,0.09430273137790512,,,,
1999-11-19,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.012675,0.3364108104057648,0.0003378378378378,-1.6006670898489483e-10,-0.002063,4.680901555084097,185.0,91442.0,16916770.0,0.03125,185.25,185.1875,4,19,11,0,0,1999,46,0.022013575386561818,0.07092116965538588,0.813598729249955,-0.4713435732084835,2.3025850929940455,36.41306009703592,0.17567095690831303,-0.010561,0.001318,0.200603,,0.014122714285714285,0.06379733043452074,0.200603,,,
1999-11-22,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.000676,-0.405949569073268,0.0003380662609871,-1.4380367003984128e-11,-0.000745,2.7806915859233174,184.875,91442.0,16905339.75,0.03125,184.9375,184.875,0,22,11,0,0,1999,47,0.018522871480936922,0.06561767560683877,1.151224048054728,1.6493319718001251,2.3025850929940455,42.418518787578364,0.17079996802900288,-0.012675,-0.041118,0.105773,,-0.006861714285714288,0.05162353172961041,0.153188,0.06705493605992029,,
1999-11-23,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.135903,5.339451453561541,0.0011904761904761,4.0147594543060885e-10,-0.011471,17.62805931628792,210.0,91442.0,19202820.0,0.125,210.25,210.0,1,23,11,0,0,1999,47,0.036581352791562015,0.07082399593225812,1.5760149258905913,2.2390862700942225,2.3025850929940455,60.06975415945823,0.9000569081049846,-0.000676,-0.026758,-0.009728,,-0.00929457142857143,0.052179416765161135,0.09888266666666667,0.10533465673904924,,
1999-11-24,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,-0.042857,-0.6767278039883495,0.001865671641791,-4.0917315868760864e-10,0.008856,5.69866144660003,201.0,91442.0,18379842.0,0.1875,202.375,202.0,2,24,11,0,0,1999,47,0.02436006774670632,0.06240318141875752,1.5397895510997504,1.961292463889121,2.3025850929940455,53.01985569922163,1.021028770345942,0.135903,-0.031371,-0.092338,,-0.0005850000000000022,0.03957337158578562,0.0510775,0.1286011759160856,,
1999-11-26,AKAM,00971T10,AKAMAI TECHNOLOGIES INC,0.027363,-0.6473689159599845,0.0072639225181598,7.21114933342065e-10,-0.000325,2.0095251634916123,206.5,91442.0,18882773.0,0.75,206.5,205.0,4,26,11,0,0,1999,47,0.02482205732413612,0.05980761242477548,1.377159478119735,1.7249883236690178,2.3025850929940455,51.36415157997956,0.9755705250672319,-0.042857,0.071325,0.005772,,0.008779714285714283,0.04815437323066404,0.0420164,0.11319988737317717,,
